Cobra Kai,Lupin,12 Monkeys,Sherlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost,Jack Ryan,The Flash,Game of thrones,House of Cards,12 Monkeys,Vikings,Fringe,The Mentalist,The Alienist,Big Little Lies,Chernobyl,,,,,,,,,,,,,,,,,,,,
Squid Game,Dr. House,Kingdom,The Walking Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozark,Squid Game,Constantine,Preacher,Vikings,The Tick,,,,,,,,,,,,,,,,,,,,,,,,,,
Naruto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squid Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locke & Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fringe,Shooter,How to get away with murder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of the South,Better Call Saul,Peaky Blinders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squid Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atypical,Stranger Things,Homeland,Brooklyn Nine Nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daredevil,Atypical,The Walking Dead,The Witcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Piece,Queen of the South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon Slayer,Atypical,Stranger Things,Absentia,The Alienist,Chernobyl,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of the South,The Blacklist,Succession,Squid Game,Berlin Station,Atypical,Two and a half men,Kingdom,Orphan Black,Shooter,Stranger Things,The Mentalist,Absentia,Banshee,Designated Survivor,,,,,,,,,,,,,,,,,
Daredevil,Lost,The Boys,Family Guy,The man in the high castle,Dr. House,Only Murders in the building,Ragnarok,Chernobyl,How I met your mother,,,,,,,,,,,,,,,,,,,,,,
Squid Game,Two and a half men,Only Murders in the building,Perception,Lucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,
