employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
49017,7,7,1,0,1,1,35,5.0,3,1,0,50,1
58304,7,28,1,1,1,1,33,5.0,6,1,0,51,1
17673,7,4,2,1,0,1,50,4.0,17,1,0,47,1
77981,1,22,1,1,0,1,27,,1,1,1,58,1
16502,7,22,1,1,1,1,27,,1,0,0,61,1
45624,0,31,1,1,0,1,30,3.0,7,1,0,84,1
24040,8,22,2,1,0,1,34,5.0,7,1,0,78,1
54782,7,2,2,1,1,1,38,4.0,2,1,0,49,1
59147,7,22,1,1,1,1,30,3.0,3,0,0,58,1
44575,3,7,1,1,0,1,29,,1,0,0,65,1
47498,4,11,2,0,1,1,42,5.0,11,1,0,60,1
22261,5,7,2,1,1,1,32,5.0,3,1,0,69,1
66635,4,15,1,1,0,1,31,5.0,4,1,0,63,1
21387,4,13,1,1,0,1,35,4.0,6,1,0,57,1
14141,7,7,1,0,0,1,40,3.0,2,1,0,90,1
51892,8,2,1,1,0,1,27,5.0,2,0,0,86,1
38771,5,23,1,0,0,1,27,4.0,4,1,0,72,1
26097,7,25,2,1,0,1,34,5.0,7,1,0,51,1
38052,5,34,2,1,1,1,37,5.0,3,0,1,92,1
19318,0,22,1,1,0,1,32,3.0,8,0,0,89,1
34985,8,5,1,0,0,2,34,5.0,8,0,0,88,1
35930,5,2,1,1,1,1,25,5.0,3,1,0,70,1
5515,4,13,2,1,0,1,43,3.0,7,1,0,56,1
33825,7,17,1,1,0,1,34,4.0,7,1,0,48,1
53630,7,23,2,0,1,1,34,4.0,5,1,1,94,1
62923,4,13,2,0,0,1,38,5.0,2,1,1,93,1
43396,4,22,1,1,1,2,37,2.0,4,1,0,57,1
22031,5,2,1,0,0,1,29,4.0,2,1,0,95,1
22865,0,20,2,1,0,1,40,5.0,5,0,1,83,1
27605,4,22,2,1,0,1,34,3.0,3,0,0,75,1
45496,7,2,1,1,0,1,22,5.0,2,0,0,62,1
66262,5,2,1,0,0,2,26,5.0,2,1,0,68,1
51544,5,12,1,0,0,1,32,5.0,5,0,1,84,1
70197,6,22,2,1,0,1,30,4.0,2,1,0,96,1
55730,7,26,1,1,0,1,45,4.0,15,0,0,64,1
8284,7,2,1,0,0,1,34,5.0,5,0,0,60,1
36936,7,28,1,1,0,1,24,2.0,2,1,0,52,1
70048,7,1,2,1,0,1,37,3.0,10,1,0,49,1
12538,4,14,1,1,0,1,35,5.0,10,1,0,59,1
56140,8,13,1,0,0,1,33,3.0,4,1,0,76,1
46639,7,7,1,0,1,1,32,5.0,8,1,0,46,1
76698,4,7,1,0,0,1,45,3.0,4,0,1,65,1
38934,4,22,2,0,1,1,48,3.0,15,0,0,69,1
31987,5,17,2,1,0,1,45,3.0,16,0,0,87,1
29146,4,22,2,1,0,3,32,3.0,4,1,0,64,1
65024,4,7,2,0,1,1,33,5.0,6,0,0,74,1
30900,7,12,1,1,1,1,35,4.0,10,1,0,50,1
44381,4,7,1,1,0,1,33,5.0,8,1,0,59,1
26944,7,2,1,0,1,1,34,2.0,7,1,0,49,1
4857,0,28,1,1,0,1,36,5.0,3,1,0,91,1
58988,5,23,2,1,0,2,35,5.0,6,1,0,91,1
6731,6,29,1,1,1,1,30,5.0,1,0,0,96,1
63667,5,26,1,1,0,1,28,,1,0,0,82,1
21230,6,7,1,1,1,2,32,5.0,3,1,0,83,1
29950,7,26,1,1,1,1,40,3.0,18,1,0,55,1
5272,4,2,0,0,1,1,24,,1,0,0,73,1
70679,7,2,2,0,0,1,39,1.0,10,1,0,52,1
20516,7,2,1,1,0,1,24,3.0,2,1,1,81,1
25354,7,2,1,1,0,1,47,4.0,16,1,0,48,1
24397,4,22,1,1,0,1,32,4.0,4,1,1,57,1
9072,7,14,2,1,0,1,33,4.0,3,1,0,94,1
15024,8,32,1,0,1,4,32,5.0,8,0,0,93,1
17190,5,34,1,1,0,1,29,5.0,4,0,0,84,1
64764,8,2,1,1,1,1,26,,1,1,1,81,1
48737,4,4,1,1,0,2,29,5.0,5,1,0,63,1
60567,0,25,1,1,0,1,30,3.0,6,1,0,84,1
64947,7,7,1,1,0,1,35,5.0,3,1,1,45,1
54321,8,7,1,1,1,1,30,,1,1,0,78,1
43786,0,22,1,0,1,2,27,3.0,3,1,0,85,1
38634,0,31,1,1,0,2,28,3.0,2,1,0,86,1
70800,4,4,2,0,1,1,37,5.0,8,1,1,99,1
69334,1,28,2,1,0,1,33,3.0,3,1,1,60,1
11811,8,7,2,0,0,1,39,4.0,4,1,0,78,1
58828,2,26,1,1,0,1,28,2.0,2,1,0,52,1
27190,4,7,1,1,1,1,33,3.0,4,0,0,74,1
26805,4,32,1,1,0,1,36,4.0,3,1,0,74,1
52952,0,22,1,1,2,1,32,3.0,3,1,1,78,1
604,8,26,1,1,0,1,35,1.0,6,1,0,77,1
16149,0,22,1,1,0,1,34,3.0,3,0,0,89,1
20877,7,4,1,0,0,1,30,3.0,8,1,0,50,1
46802,5,20,1,0,0,1,33,2.0,3,1,0,69,1
14067,5,7,1,0,0,1,29,5.0,4,1,0,72,1
44100,7,7,2,1,1,1,42,5.0,11,1,0,54,1
31700,5,17,2,0,0,1,36,3.0,4,0,0,81,1
35744,7,28,1,1,0,1,25,4.0,3,1,0,64,1
54981,4,15,1,0,0,2,42,5.0,5,1,0,61,1
43446,8,17,1,1,0,1,36,4.0,5,1,0,78,1
33769,8,4,1,1,0,1,30,5.0,3,1,0,77,1
6751,7,28,2,1,0,1,36,3.0,2,1,0,45,1
46849,7,3,1,1,0,1,32,5.0,5,1,0,47,1
16458,4,4,1,0,1,1,39,5.0,9,1,0,61,1
710,0,22,1,1,0,1,28,,1,1,0,86,1
26129,7,22,1,1,2,1,29,3.0,2,1,0,55,1
6104,4,22,1,1,1,1,27,5.0,4,0,0,68,1
34428,8,7,2,0,0,1,41,4.0,8,1,1,93,1
6511,0,7,1,1,1,2,29,5.0,2,0,0,86,1
6704,7,15,1,1,0,1,40,3.0,12,1,0,47,1
27543,4,4,2,1,1,1,44,3.0,15,1,0,61,1
69540,8,5,1,0,1,1,24,,1,0,0,81,1
76938,8,28,1,1,0,1,28,5.0,4,0,1,91,1
28847,4,22,1,0,1,3,36,2.0,4,0,0,78,1
73853,6,4,2,1,0,1,42,4.0,8,1,0,85,1
8424,4,15,2,1,1,2,44,5.0,11,1,0,92,1
45253,0,22,1,0,1,1,29,4.0,4,1,0,92,1
63292,5,22,1,1,1,1,26,,1,0,0,80,1
44344,7,13,2,0,1,1,40,3.0,5,1,0,50,1
76470,8,17,1,0,0,1,32,5.0,4,1,0,95,1
70680,2,22,1,1,1,1,28,,1,1,0,51,1
74295,5,13,2,0,0,1,36,3.0,6,1,0,67,1
312,7,23,1,1,1,1,35,3.0,9,1,0,45,1
1570,4,13,1,1,0,1,34,3.0,3,0,0,68,1
45312,0,15,1,1,0,1,37,5.0,11,0,1,86,1
74181,5,16,1,0,0,1,37,5.0,5,0,0,77,1
77159,0,5,2,1,1,1,37,2.0,7,0,1,81,1
4747,8,22,2,1,2,3,36,3.0,7,1,0,80,1
3907,5,22,1,0,0,1,34,5.0,2,1,0,65,1
68919,8,13,1,1,1,1,38,5.0,4,0,0,93,1
19198,7,6,1,1,0,1,32,3.0,6,1,0,47,1
30140,0,28,1,1,0,1,34,3.0,7,1,0,80,1
34392,6,26,1,1,1,2,40,3.0,2,1,1,84,1
13086,7,7,1,1,0,1,32,3.0,4,0,0,65,1
67964,5,7,1,1,0,1,36,3.0,4,1,0,72,1
29839,7,13,1,1,0,1,54,5.0,11,1,0,45,1
30787,8,22,1,0,0,1,26,5.0,3,1,0,80,1
8711,5,17,1,0,0,1,26,5.0,4,0,0,86,1
32140,7,3,1,1,0,1,34,4.0,9,1,0,46,1
1234,8,2,0,1,0,3,23,,1,0,0,82,1
65621,8,2,1,1,0,1,30,5.0,6,0,1,86,1
63636,7,2,1,1,0,1,36,4.0,8,1,0,51,1
67600,8,27,1,0,1,1,28,4.0,2,1,0,78,1
7370,7,21,1,1,0,1,48,3.0,4,1,0,51,1
10027,4,7,1,0,1,1,32,4.0,5,1,0,99,1
23259,8,2,1,0,1,1,24,4.0,2,1,0,84,1
23216,5,13,2,0,0,1,34,5.0,7,1,0,74,1
44757,2,26,1,0,0,1,31,3.0,5,1,0,46,1
52957,8,22,2,1,0,1,37,4.0,6,1,0,82,1
16939,7,17,1,1,0,1,31,4.0,3,0,0,60,1
8691,1,25,1,1,0,1,32,5.0,6,1,0,57,1
44105,7,28,1,1,0,1,34,5.0,7,1,0,53,1
6402,7,26,2,1,0,1,41,5.0,14,1,0,45,1
41573,7,2,1,0,0,1,35,4.0,7,1,0,54,1
42379,7,14,1,1,0,1,39,3.0,10,0,0,58,1
66509,4,4,1,0,0,1,36,3.0,9,1,0,61,1
54725,5,2,1,1,1,2,40,3.0,4,1,0,66,1
4653,4,2,1,0,1,1,32,5.0,10,0,0,69,1
44041,8,28,2,1,0,1,34,3.0,9,0,0,80,1
24023,4,7,2,0,0,1,56,5.0,7,1,1,61,1
53335,5,15,2,1,0,1,40,4.0,9,1,0,72,1
2742,8,28,2,1,0,1,35,2.0,8,1,0,78,1
2985,0,22,1,0,1,1,26,5.0,4,1,0,86,1
25052,5,27,1,1,0,2,28,,1,1,0,71,1
67891,7,2,1,1,1,1,23,5.0,2,0,0,64,1
51271,6,22,1,1,0,1,29,5.0,2,1,0,83,1
68405,4,11,2,1,0,1,41,3.0,5,1,0,63,1
