id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
49091,266763,5,1.44255,103.7958,0,83,180,1,2136.0,0.01,2,365
50646,227796,1,1.33235,103.78520999999999,0,81,90,18,1705.0,0.28,1,365
56334,266763,5,1.44246,103.79666999999999,0,69,6,20,1426.0,0.2,2,365
71609,367042,3,1.34541,103.95711999999999,0,206,1,14,16.0,0.15,9,353
71896,367042,3,1.3456700000000001,103.95963,0,94,1,22,30.0,0.22,9,355
71903,367042,3,1.34702,103.96103000000001,0,104,1,39,12.0,0.38,9,346
71907,367042,3,1.34348,103.96337,0,208,1,25,33.0,0.25,9,172
241503,1017645,3,1.32304,103.91363,0,50,90,174,88.0,1.88,4,59
241508,1017645,3,1.3245799999999999,103.91163,0,54,90,198,121.0,2.08,4,133
241510,1017645,3,1.32461,103.91190999999999,0,42,90,236,27.0,2.53,4,147
275343,1439258,1,1.28875,103.80814000000001,0,44,15,18,128.0,0.23,32,331
275344,1439258,1,1.28837,103.81099,0,40,30,10,348.0,0.11,32,276
294281,1521514,1,1.31125,103.83816,0,65,2,125,5.0,1.35,6,336
324945,1439258,1,1.28976,103.80896,0,44,30,13,206.0,0.15,32,340
330089,1439258,1,1.28677,103.81244000000001,0,40,30,10,122.0,0.14,32,331
330095,1439258,1,1.2853700000000001,103.81087,0,31,90,3,1100.0,0.04,32,361
344803,367042,3,1.34943,103.95951,0,49,2,45,16.0,0.5,9,357
355955,1759905,1,1.3142,103.90231999999999,0,81,90,0,1887.0,,1,173
369141,1521514,1,1.3115,103.83759,0,60,2,84,48.0,1.17,6,340
369145,1521514,1,1.31159,103.83805,0,60,2,157,12.0,1.75,6,349
395191,1975201,1,1.29345,103.83561999999999,0,56,90,27,750.0,0.36,1,364
423875,367042,3,1.34838,103.9592,0,104,1,16,23.0,0.19,9,300
481789,2386154,3,1.34816,103.93238000000001,0,37,180,0,1887.0,,1,365
553229,1030128,2,1.34135,103.71139000000001,0,53,2,23,16.0,0.27,3,345
